restaurant,michelin_stars,city,province,region,coast_province,coordenates,latitude,longitude,price_menu_1,price_menu_2,price_average,type_of_cooking1,type_of_cooking2,international_cooking,regional_cooking
La Tasqueria,1,Madrid,Madrid,C.Madrid,No,"40.4223208,-3.6759737",40.4223208,-3.6759737,40,75.0,57.5,Moderna,,,
Ramon Freixa Madrid,2,Madrid,Madrid,C.Madrid,No,"40.4285278,-3.6886534",40.4285278,-3.6886534,90,145.0,117.5,Creativa,,,
Coque,2,Madrid,Madrid,C.Madrid,No,"40.430682,-3.6926397",40.430682,-3.6926397,198,318.0,258.0,Creativa,,,
Lua,1,Madrid,Madrid,C.Madrid,No,"40.4329107,-3.6957335",40.4329107,-3.6957335,50,72.0,61.0,Moderna,,,
Montia,1,San Lorenzo de El Escorial,Madrid,C.Madrid,No,"40.5932922,-4.1499033",40.5932922,-4.1499033,60,82.0,71.0,Moderna,Tradicional,,
Magoga,1,Cartagena,Murcia,Murcia,Yes,"37.6054969,-0.9859742",37.6054969,-0.9859742,45,85.0,65.0,Contemporanea,,,Murciana
Santceloni,2,Madrid,Madrid,C.Madrid,No,"40.4388582,-3.6937016",40.4388582,-3.6937016,110,185.0,147.5,Creativa,,,
A'Barra,1,Madrid,Madrid,C.Madrid,No,"40.4387391,-3.6899898",40.4387391,-3.6899898,65,105.0,85.0,Internacional,,Espaola,
El Invernadero,1,Madrid,Madrid,C.Madrid,No,"40.4445498,-3.7011323",40.4445498,-3.7011323,95,150.0,122.5,Moderna,,,
Clos Madrid,1,Madrid,Madrid,C.Madrid,No,"40.4461316,-3.7016392",40.4461316,-3.7016392,55,85.0,70.0,Moderna,,,
Kabuki,1,Madrid,Madrid,C.Madrid,No,"40.4461312,-3.7082053",40.4461312,-3.7082053,70,95.0,82.5,Internacional,,Japonesa,
Gaytan,1,Madrid,Madrid,C.Madrid,No,"40.4498349,-3.6807403",40.4498349,-3.6807403,50,137.0,93.5,Moderna,,,
Diverxo,3,Madrid,Madrid,C.Madrid,No,"40.4578817,-3.6880015",40.4578817,-3.6880015,250,,250.0,Creativa,,,
En la Parra,1,Salamanca,Salamanca,Castilla y Leon,No,"40.9606719,-5.6664957",40.9606719,-5.6664957,42,58.0,50.0,Moderna,,,
Victor Gutierrez,1,Salamanca,Salamanca,Castilla y Leon,No,"40.9630362,-5.6724967",40.9630362,-5.6724967,80,120.0,100.0,Creativa,Fusion,,
Maralba,3,Alamansa,Albacerte,Castilla la Mancha,No,"38.8696351,-1.0934061",38.8696351,-1.0934061,56,95.0,75.5,Creativa,,,Castellana
Trivio,1,Cuenca,Cuenca,Castilla la Mancha,No,"40.0741435,-2.1398272",40.0741435,-2.1398272,30,70.0,50.0,Moderna,,,
La Finca,1,Elche,Alicante,C.Valenciana,Yes,"38.2561397,-0.6522904",38.2561397,-0.6522904,73,119.0,96.0,Creativa,,,
Monastrell,1,Alicante,Alicante,C.Valenciana,Yes,"38.3391442,-0.4897104",38.3391442,-0.4897104,66,115.0,90.5,Moderna,,,
Baeza & Rufete,1,Alicante,Alicante,C.Valenciana,Yes,"38.368648,-0.4355661",38.368648,-0.4355661,35,65.0,50.0,Moderna,,,
