restaurant,michelin_stars,city,province,region,coast_province,coordenates,latitude,longitude,price_menu_1,price_menu_2,price_average,type_of_cooking1,type_of_cooking2,international_cooking,regional_cooking
Alkimia,1,Barcelona,Barcelona,Cataluna,Yes,"41.3826599,2.1611752",41.3826599,2.1611752,73,170.0,121.5,Moderna,,,
Angle,2,Barcelona,Barcelona,Cataluna,Yes,"41.3881898,2.1577469",41.3881898,2.1577469,145,,145.0,Moderna,,,
Hofmann,1,Barcelona,Barcelona,Cataluna,Yes,"41.3971869,2.1509057",41.3971869,2.1509057,42,82.0,62.0,Moderna,,,
Xerta,1,Barcelona,Barcelona,Cataluna,Yes,"41.3945816,2.1542895",41.3945816,2.1542895,38,120.0,79.0,Creativa,,,
Dos Palillos,1,Barcelona,Barcelona,Cataluna,Yes,"41.3833378,2.1664192",41.3833378,2.1664192,45,110.0,77.5,Fusion,,,
Lasarte,3,Barcelona,Barcelona,Cataluna,Yes,"41.3936151,2.1597557",41.3936151,2.1597557,150,260.0,205.0,Creativa,,,
Oria,1,Barcelona,Barcelona,Cataluna,Yes,"41.3939122,2.1600669",41.3939122,2.1600669,45,120.0,82.5,Moderna,,,
Moments,2,Barcelona,Barcelona,Cataluna,Yes,"41.391174,2.1644413",41.391174,2.1644413,150,189.0,169.5,Creativa,,,
Koy Shunka,1,Barcelona,Barcelona,Cataluna,Yes,"41.3858417,2.1731136",41.3858417,2.1731136,60,139.0,99.5,Internacional,,Japonesa,
Caelis,1,Barcelona,Barcelona,Cataluna,Yes,"41.3870519,2.1721473",41.3870519,2.1721473,42,135.0,88.5,Creativa,,,
Enoteca,2,Barcelona,Barcelona,Cataluna,Yes,"41.3870119,2.194446",41.3870119,2.194446,90,190.0,140.0,Moderna,,,
Fogony,1,Sort,Lerida,Cataluna,No,"42.4155693,1.1298323",42.4155693,1.1298323,38,75.0,56.5,Moderna,,,
L'o,1,Sant Fruitos de Bages,Barcelona,Cataluna,Yes,"41.744721,1.8982893",41.744721,1.8982893,55,95.0,75.0,Moderna,,,
Art,1,Barcelona,Barcelona,Cataluna,Yes,"41.4084564,2.2157134",41.4084564,2.2157134,98,,98.0,Moderna,,,
Lluerna,1,Santa Coloma dde Gramenet,Barcelona,Cataluna,Yes,"41.4553971,2.2044158",41.4553971,2.2044158,45,88.0,66.5,Moderna,,,
Voro,1,Canyamel,Islas Baleares,Islas Baleares,Yes,"39.6688384,3.4364996",39.6688384,3.4364996,110,140.0,125.0,Moderna,,,
Andreu Genestra,1,Capdepera,Islas Baleares,Islas Baleares,Yes,"39.7134964,3.4264362",39.7134964,3.4264362,65,110.0,87.5,Creativa,,,
Tresmacarrons,1,El Masnou,Barcelona,Cataluna,Yes,"41.3639068,2.4356781",41.3639068,2.4356781,50,110.0,80.0,Moderna,,,
Estany Clar,1,Cercs,Barcelona,Cataluna,Yes,"41.6390249,-0.4998377",41.6390249,-0.4998377,50,80.0,65.0,Moderna,,,
Els Casals,1,Sagas,Barcelona,Cataluna,Yes,"42.0313895,1.9587197",42.0313895,1.9587197,50,78.0,64.0,Contemporanea,,Catalana,
Sala,1,Olost,Barcelona,Cataluna,Yes,"41.9860238,2.0935183",41.9860238,2.0935183,50,150.0,100.0,Tradicional,,,
Can Jubany,1,Calldetenes,Barcelona,Cataluna,Yes,"41.929413,2.2991439",41.929413,2.2991439,70,135.0,102.5,Moderna,,,
Les Magnolies,1,Arbucies,Gerona,Cataluna,Yes,"41.8188926,2.5060808",41.8188926,2.5060808,60,85.0,72.5,Moderna,,,
La Fonda Xesc,1,Gombren,Gerona,Cataluna,Yes,"42.2481679,2.0892391",42.2481679,2.0892391,45,90.0,67.5,Moderna,,,
L'Aliana 1919 d'Angles,1,Angles,Gerona,Cataluna,Yes,"41.9560668,2.636796",41.9560668,2.636796,25,85.0,55.0,Moderna,,Catalana,
Ca l'Enric,1,La Vall de Bianya,Gerona,Cataluna,Yes,"42.2217107,2.4380529",42.2217107,2.4380529,70,130.0,100.0,Creativa,,,
La Cuina de Can Simon,1,Tossa de Mar,Gerona,Cataluna,Yes,"41.7171673,2.9324115",41.7171673,2.9324115,60,98.0,79.0,Creativa,,,
Les Cols,2,Olot,Gerona,Cataluna,Yes,"42.1949922,2.4988636",42.1949922,2.4988636,135,,135.0,Creativa,,,
Els Tinars,1,Llagostera,Gerona,Cataluna,Yes,"41.8275338,2.951596",41.8275338,2.951596,52,90.0,71.0,Tradicional,,,
El Celler de Can Roca,3,Gerona,Gerona,Cataluna,Yes,"41.9934108,2.8060718",41.9934108,2.8060718,190,350.0,270.0,Creativa,,,
Massana,1,Gerona,Gerona,Cataluna,Yes,"41.9850687,2.8172579",41.9850687,2.8172579,80,125.0,102.5,Moderna,,,
Ca l'Arpa,1,Baolas,Gerona,Cataluna,Yes,"42.1167442,2.7621125",42.1167442,2.7621125,24,80.0,52.0,Tradicional,,,
Atempo,1,Sant Julia de Ramis,Gerona,Cataluna,Yes,"42.0028367,2.8813257",42.0028367,2.8813257,145,175.0,160.0,Creativa,Moderna,,
Bo.TiC,2,Cora,Gerona,Cataluna,Yes,"41.987888,3.0138025",41.987888,3.0138025,68,149.0,108.5,Creativa,,,
Casamar,1,Llafranc,Gerona,Cataluna,Yes,"42.3081311,3.008897",42.3081311,3.008897,55,84.0,69.5,Moderna,,,
Castell Peralada,1,Peralada,Gerona,Cataluna,Yes,"42.3081311,3.008897",42.3081311,3.008897,72,100.0,86.0,Moderna,,,
Emporium,1,Castello d'Empuries,Gerona,Cataluna,Yes,"42.255932,3.0739688",42.255932,3.0739688,60,98.0,79.0,Moderna,,,
Miramar,2,Llana,Gerona,Cataluna,Yes,"42.3710596,3.1579516",42.3710596,3.1579516,110,200.0,155.0,Creativa,,,
Kazan,1,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Islas Canarias,Yes,"28.4682464,-16.2505415",28.4682464,-16.2505415,50,100.0,75.0,Internacional,,Japonesa,
La Aquarela,1,Arguineguin,Las Palmas,Islas Canarias,Yes,"27.5184164,-15.778269",27.5184164,-15.778269,65,89.0,77.0,Creativa,,,
Los Guayres,1,Puerto de Mogan,Las Palmas,Islas Canarias,Yes,"27.8225857,-15.7625521",27.8225857,-15.7625521,90,105.0,97.5,Moderna,,Espaola,
Abama Kabuki,1,Guia de Isora,Santa Cruz de Tenerife,Islas Canarias,Yes,"28.1705504,-16.7951248",28.1705504,-16.7951248,80,145.0,112.5,Internacional,,Japonesa,
M.B,1,Guia de Isora,Santa Cruz de Tenerife,Islas Canarias,Yes,"28.1709985,-16.8015611",28.1709985,-16.8015611,105,183.0,144.0,Creativa,,,
